PF10417,40,1-cysPrx_C
PF12574,244,120_Rick_ant
PF09847,449,12TM_1
PF00244,231,14-3-3
PF16998,116,17kDa_Anti_2
PF00389,134,2-Hacid_dh
PF02826,178,2-Hacid_dh_C
PF00198,233,2-oxoacid_dh
PF16078,41,2-oxogl_dehyd_N
PF04029,226,2-ph_phosp
PF16620,162,23ISL
PF05635,108,23S_rRNA_IVP
PF08521,142,2CSK_N
PF08793,35,2C_adapt
PF11591,34,2Fe-2S_Ferredox
PF01257,145,2Fe-2S_thioredx
PF08975,116,2H-phosphodiest
PF03390,416,2HCT
PF03171,101,2OG-FeII_Oxy
PF13532,199,2OG-FeII_Oxy_2
PF13640,100,2OG-FeII_Oxy_3
PF13661,70,2OG-FeII_Oxy_4
PF13759,101,2OG-FeII_Oxy_5
PF10014,191,2OG-Fe_Oxy_2
PF13239,76,2TM
PF13563,152,2_5_RNA_ligase2
PF03475,44,3-alpha
PF06983,116,3-dmu-9_3-mt
PF06052,151,3-HAO
PF12578,132,3-PAP
PF00803,236,3A
PF01073,282,3Beta_HSD
PF06725,75,3D
PF02829,97,3H
PF10605,689,3HBOH
PF00725,97,3HCDH
PF02737,180,3HCDH_N
PF16121,48,40S_S4_C
PF16122,95,40S_SA_C
PF04419,38,4F5
PF03061,79,4HBT
PF13279,123,4HBT_2
PF13622,255,4HBT_3
PF12729,181,4HB_MCP_1
PF05902,107,4_1_CTD
PF01812,187,5-FTHF_cyc-lig
PF06189,266,5-nucleotidase
PF09038,122,53-BP1_Tudor
PF03491,41,5HT_transport_N
PF07694,169,5TM-5TMR_LYT
PF01367,97,5_3_exonuc
PF02739,159,5_3_exonuc_N
PF05761,457,5_nucleotid
PF02872,158,5_nucleotid_C
PF02096,166,60KD_IMP
PF01591,223,6PF2K
PF00393,282,6PGD
PF02495,59,7kD_coat
PF02294,58,7kD_DNA_binding
PF07698,194,7TM-7TMR_HD
PF07696,133,7TMR-DISMED2
PF07695,205,7TMR-DISM_7TM
PF07697,211,7TMR-HDED
PF00001,268,7tm_1
PF00002,241,7tm_2
PF00003,212,7tm_3
PF13853,280,7tm_4
PF02949,313,7tm_6
PF08395,371,7tm_7
PF02117,328,7TM_GPCR_Sra
PF10292,324,7TM_GPCR_Srab
PF02175,236,7TM_GPCR_Srb
PF10316,274,7TM_GPCR_Srbc
PF10317,292,7TM_GPCR_Srd
PF10318,302,7TM_GPCR_Srh
PF10327,303,7TM_GPCR_Sri
PF10319,310,7TM_GPCR_Srj
PF10320,257,7TM_GPCR_Srsx
PF10321,313,7TM_GPCR_Srt
